
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [152/749] [CACHED] C_Clamps_36/C_Clamps_36.STEP — 5 nodes
  [153/749] [CACHED] C_Clamps_37/C_Clamps_37.step — 5 nodes
  [154/749] [CACHED] C_Clamps_38/C_Clamps_38.STEP — 8 nodes
  [155/749] [CACHED] C_Clamps_40/C_Clamps_40.stp — 4 nodes
  [156/749] [SKIPPED] C_Clamps_41/C_Clamps_41.stp (CACHED_ONLY=1, no cache entry)
  [157/749] [CACHED] C_Clamps_42/C_Clamps_42.STEP — 28 nodes
  [158/749] [CACHED] C_Clamps_43/C_Clamps_43.stp — 11 nodes
  [159/749] [CACHED] C_Clamps_44/C_Clamps_44.STEP — 5 nodes
  [160/749] [CACHED] C_Clamps_45/C_Clamps_45.stp — 12 nodes
  [161/749] [CACHED] C_Clamps_46/C_Clamps_46.stp — 12 nodes
  [162/749] [CACHED] C_Clamps_47/C_Clamps_47.stp — 2 nodes
  [163/749] [CACHED] C_Clamps_48/C_Clamps_48.STEP — 9 nodes
  [164/749] [CACHED] C_Clamps_49/C_Clamps_49.stp — 7 nodes
  [165/749] [CACHED] C_Clamps_50/C_Clamps_50.STEP — 3 nodes
  [166/749] [CACHED] C_Clamps_51/C_Clamps_51.stp — 5 nodes
  [167/749] [CACHED] C_Clamps_52/C_Clamps_52.STEP — 16 nodes
  [168/749] [CACHED] C_Clamps_53/C_Clamps_53.STEP — 4 nodes
  [169/749] [CACHED] C_Clamps_54/C_Clamps_54.stp — 4 nodes
  [170/749] [CACHED] C_Clamps_55/C_Clamps_55.stp — 13 nodes
  [171/749] [CACHED] C_Clamps_56/C_Clamps_56.stp — 4 nodes
  [172/749] [CACHED] C_Clamps_57/C_Clamps_57.stp — 6 nodes
  [173/749] [CACHED] C_Clamps_58/C_Clamps_58.stp — 3 nodes
  [174/749] [CACHED] C_Clamps_59/C_Clamps_59.STEP — 6 nodes
  [175/749] [CACHED] C_Clamps_60/C_Clamps_60.stp — 10 nodes
  [176/749] [CACHED] C_Clamps_61/C_Clamps_61.STEP — 16 nodes
  [177/749] [CACHED] C_Clamps_62/C_Clamps_62.stp — 11 nodes
  [178/749] [CACHED] C_Clamps_63/C_Clamps_63.step — 19 nodes
  [179/749] [CACHED] C_Clamps_64/C_Clamps_64.stp — 7 nodes
  [180/749] [CACHED] C_Clamps_65/C_Clamps_65.stp — 6 nodes
  [181/749] [CACHED] C_Clamps_66/C_Clamps_66.step — 19 nodes
  [182/749] [CACHED] C_Clamps_67/C_Clamps_67.stp — 11 nodes
  [183/749] [CACHED] C_Clamps_68/C_Clamps_68.STEP — 5 nodes
